Customer Voucher Discount,Membership ID,Sales Grouping,Sales Region,Sub-Grouping,Purchase Date,Profit Amount,Units,Revenue
0.3,RWN|914057,Consoles,Central,Nintendo Switch,1/05/2006,423,5,1459
0.3,BDT|455114,Merchandise,West,Toys,1/05/2046,41,7,117
0.7,BFT|026316,Merchandise,West,Toys,1/11/2009,5,2,13
0.2,PTT|233333,Merchandise,Central,Toys,1/04/2011,-3,2,2
0.6,GZM|043950,Games,East,Microsoft,1/05/2012,226,4,480
0.5,DLM|184211,Merchandise,East,Mugs,1/04/2001,5,3,12
0.5,MPT|760825,Merchandise,West,Toys,1/01/2002,23,14,65
0.4,DPP|192105,Consoles,Central,PS5,1/11/2045,-7,3,25
0.6,TTS|852632,Games,Central,Sony,1/03/2036,4,2,25
0.2,LCS|338310,Games,West,Sony,1/05/2009,122,4,340
0.5,VMT|346667,Merchandise,South,Toys,1/02/2039,-27,4,40
0.6,TMN|653497,Games,East,Nintendo,1/12/2024,136,8,544
0.7,ZCN|212500,Consoles,Central,Nintendo Switch,1/03/2025,-4,4,96
0.2,JMD|171795,Merchandise,West,Decals,1/07/1999,12,4,26
0.2,LWP|930729,Consoles,West,PS5,1/02/2044,22,3,128
0.4,ASC|066667,Merchandise,West,Clothing,1/02/2039,4,1,14
0.3,MST|722222,Merchandise,West,Toys,1/03/2002,-5,5,6
0.6,MCD|962500,Merchandise,Central,Decals,1/03/2025,4,2,10
0.6,DGP|113333,Merchandise,East,Peripherals,1/04/2011,36,2,80
0.9,RBS|188512,Games,South,Sony,1/03/2026,77,8,256
0.1,DPD|387862,Merchandise,West,Decals,1/01/2005,181,9,369
0.2,JFN|798496,Consoles,West,Nintendo Switch,1/11/2024,9,2,178
0.2,SVD|598529,Merchandise,West,Decals,1/08/2027,22,7,45
0.3,DSS|895041,Merchandise,West,Storage Equipment,1/02/2007,3,1,81
0.5,LEF|948485,Merchandise,Central,Furniture,1/12/2023,3,3,22
0.7,JEN|921212,Games,South,Nintendo,1/05/2001,17,1,66
