Customer ID,Sub Status
J12955367,Complete
J12841689,Complete
J12893360,Incomplete
J12553368,Complete
J12751391,Complete
J12579785,Complete
J12867457,Complete
J12555828,Complete
J12555744,Complete
J12615891,Incomplete
J12725987,Complete
J12708539,Complete
J12867244,Incomplete
J12822014,Complete
J12879309,Complete
J12991269,Complete
J12952214,Complete
J12936305,Complete
J12781948,Incomplete
J12777766,Complete
J12626185,Incomplete
J12645625,Complete
J12558173,Complete
J13044118,Complete
J12763099,Incomplete
J12818668,Incomplete
J12901993,Complete
J12564406,Complete
J12618672,Incomplete
J13035428,Complete
J12952379,Complete
J12908394,Complete
J12614602,Incomplete
J12653222,Incomplete
J12752068,Complete
J12627838,Complete
J12985544,Complete
J12670765,Complete
J12781775,Incomplete
J12648387,Insurance Claim
J12724613,Complete
J12723151,Incomplete
J12623068,Complete
J12666614,Complete
J12551484,Complete
J12591021,Complete
J12678604,Incomplete
J12861700,Incomplete
J12959580,Complete
J12818637,Complete
J12662278,Incomplete
J12709386,Complete
J12556228,Complete
J12592257,Complete
J12647813,Complete
J12937111,Complete
J12904532,Incomplete
J13043438,Incomplete
J12941456,Incomplete
J12553548,Incomplete
J12750715,Complete
J12874388,Incomplete
J12808127,Complete
J12749070,Complete
J13020069,Complete
J12580155,Complete
J12748006,Complete
J12863857,Incomplete
J12743496,Complete
J12659168,Incomplete
J12611579,Complete
J12619832,Complete
J12939198,Complete
J12581872,Complete
J12638958,Complete
J12679265,Incomplete
J12875482,Complete
J12931591,Complete
J12552102,Incomplete
J12858027,Complete
J12834234,Complete
J12708587,Complete
J12789634,Incomplete
J12597696,Incomplete
J13014231,Complete
J12669365,Complete
J12748853,Complete
J13042955,Complete
J12559217,Complete
J12783219,Incomplete
J12768008,Complete
J12561540,Incomplete
J12963149,Complete
J12715463,Complete
J13019931,Complete
J12776948,Complete
J12681554,Complete
J12926543,Complete
J12696638,Complete
J12724001,Complete
J12684491,Complete
J12816432,Incomplete
J12849397,Complete
J12737552,Incomplete
J13016264,Incomplete
J12921115,Complete
J12817580,Complete
J12979831,Complete
J12814174,Complete
J12648700,Incomplete
J12738731,Complete
J12820066,Complete
J12661664,Complete
J12953154,Complete
J12721797,Complete
J12599145,Complete
J12679107,Incomplete
J12873032,Complete
J12554352,Complete
J12550918,Complete
J12982316,Complete
J12881531,Complete
J13001642,Incomplete
J12951828,Incomplete
J12909584,Complete
J12562507,Complete
J12773891,Complete
J12966577,Complete
J12777315,Complete
J12747280,Incomplete
J13017178,Incomplete
J12887510,Complete
J12684115,Complete
J12971807,Complete
J12707287,Incomplete
J12684804,Complete
J12570951,Complete
J12919416,Complete
J13014626,Incomplete
J13015876,Complete
J12680720,Complete
J12870636,Complete
J12694758,Complete
J12913207,Complete
J12762351,Complete
J13004707,Incomplete
J12964328,Incomplete
J12945280,Complete
J12723747,Complete
J12799426,Incomplete
J12955524,Complete
J12557652,Complete
J12856262,Incomplete
J12667307,Incomplete
J12868685,Incomplete
J12740753,Complete
J12651704,Complete
J12803017,Complete
J12963708,Complete
J12628509,Complete
J12553111,Complete
J12881256,Incomplete
J12627688,Incomplete
J12771054,Complete
J13033172,Complete
J12726968,Complete
J12574491,Incomplete
J12965548,Complete
J12671435,Complete
J12627714,Complete
J13013481,Incomplete
J12689338,Incomplete
J12629653,Incomplete
J12621835,Incomplete
J12678927,Complete
J12805906,Incomplete
J12550182,Incomplete
J12938972,Incomplete
J12768176,Complete
J12867387,Incomplete
J12890209,Incomplete
J12574434,Incomplete
J12841731,Complete
J12636927,Complete
J12979768,Complete
J12914771,Complete
J12724896,Complete
J12676480,Complete
J12549667,Incomplete
J12666238,Complete
J12722806,Complete
J12903871,Incomplete
J12931022,Incomplete
J12641977,Incomplete
J12938457,Incomplete
J12985551,Complete
J12629880,Complete
J13013328,Complete
J12597329,Incomplete
J13042233,Complete
J12792170,Complete
J12700025,Complete
J12994977,Incomplete
J12586602,Incomplete
J12776997,Complete
J12846595,Incomplete
J12658190,Complete
J12709694,Complete
J12706770,Complete
J12926784,Incomplete
J12991569,Complete
J12727017,Complete
J12655141,Complete
J12615708,Complete
J12797126,Complete
J12595840,Complete
J12708940,Complete
J13028027,Complete
J12611390,Complete
J13001278,Complete
J12666296,Complete
J12932902,Complete
J12656874,Complete
J12974483,Complete
J12756880,Complete
J12800565,Incomplete
J12975630,Complete
J12848406,Incomplete
J12778385,Incomplete
J12616728,Complete
J12948764,Complete
J12626917,Complete
J12975821,Complete
J12736502,Incomplete
J12640716,Incomplete
J12913259,Incomplete
J12552862,Incomplete
J12867761,Complete
J12676837,Incomplete
J12893409,Complete
J12846432,Incomplete
J12584896,Complete
J13004943,Incomplete
J12560622,Incomplete
J12891659,Incomplete
J12931174,Incomplete
J12816002,Complete
J12640597,Incomplete
J13022701,Complete
J12845351,Incomplete
J12961178,Complete
J12618882,Complete
J13033068,Complete
J12790767,Complete
J12962709,Incomplete
J12668909,Complete
J12589407,Complete
J12549022,Complete
J12644658,Complete
J13010046,Complete
J12712851,Complete
J12988171,Incomplete
J12942313,Incomplete
J12782319,Complete
J12957129,Incomplete
J12900363,Incomplete
J12992315,Complete
J12869342,Complete
J12861329,Complete
J12567168,Complete
J12871666,Incomplete
J12552717,Incomplete
J12587223,Complete
J12960639,Incomplete
J12855482,Complete
J12952495,Complete
J12604319,Complete
J12763630,Complete
J12548912,Incomplete
J12712949,Complete
J12948067,Incomplete
J12783699,Incomplete
J12964306,Complete
J12602090,Incomplete
J13036409,Complete
J12882665,Complete
J12721499,Complete
J12555128,Complete
J12752536,Complete
J12883028,Complete
J12918298,Incomplete
J12765504,Incomplete
J12877609,Incomplete
J12645131,Complete
J12952662,Incomplete
J12621984,Incomplete
J12560412,Complete
J12612607,Complete
J12649753,Incomplete
J12992147,Incomplete
J12825048,Complete
J12549066,Complete
J12550155,Transferred
J12567118,Complete
J12628575,Complete
J12555087,Complete
J12884333,Incomplete
J12668738,Complete
J12848649,Incomplete
J12583025,Incomplete
J12715485,Complete
J12929010,Incomplete
J12562546,Complete
J12852636,Complete
J12847715,Incomplete
J12616232,Complete
J12676000,Complete
J12902785,Complete
J13028453,Incomplete
J13009020,Complete
J12642767,Complete
J12924464,Complete
J12743616,Complete
J12620813,Complete
J12797662,Complete
J13005108,Incomplete
J12684700,Complete
J13010977,Complete
J12994584,Incomplete
J12861186,Complete
J12805308,Complete
J12659605,Complete
J12783306,Complete
J12834206,Complete
J12911622,Complete
J12615977,Incomplete
J12667330,Complete
J12564149,Complete
J12650210,Complete
J12975985,Incomplete
J12553894,Complete
J12550204,Incomplete
J12582672,Complete
J12893537,Incomplete
J12857520,Incomplete
J12679193,Incomplete
J12979437,Complete
J12983698,Incomplete
J12628622,Complete
J13022803,Complete
J12948855,Complete
J12926921,Complete
J12947857,Complete
J12950436,Complete
J12998684,Complete
J12731770,Complete
J12553155,Complete
J12873784,Complete
J12553327,Complete
J12692773,Incomplete
J12946979,Complete
J12695627,Complete
J12804692,Insurance Claim
J12673536,Complete
J12829859,Incomplete
J12605922,Complete
J12957488,Complete
J12616960,Complete
J12893763,Incomplete
J12915246,Incomplete
J12821753,Complete
J12685264,Complete
J12749056,Complete
J12567154,Complete
J12551389,Complete
J12905226,Incomplete
J12637981,Incomplete
J12908993,Incomplete
J12959949,Complete
J12804310,Complete
J12615826,Complete
J13031756,Complete
J12741553,Incomplete
J12579410,Complete
J12718399,Complete
J12656244,Complete
J12987382,Complete
J12623849,Complete
J12821716,Complete
J12690948,Complete
J12920407,Incomplete
J12923815,Complete
J12823667,Complete
J12799645,Incomplete
J12856144,Complete
J12643343,Incomplete
J12854689,Complete
J12557722,Complete
J12552026,Complete
J13039194,Complete
J12666873,Complete
J12889034,Incomplete
J12562639,Complete
J12905446,Incomplete
J13043228,Incomplete
J12729717,Complete
J12665971,Complete
J12677202,Incomplete
J12821461,Incomplete
J12648313,Incomplete
J12813981,Complete
J12640643,Incomplete
J12621220,Complete
J12675711,Incomplete
J12946853,Complete
J12627648,Complete
J12826700,Incomplete
J12770911,Complete
J12941351,Complete
J12703840,Complete
J12640381,Complete
J13008278,Complete
J12666888,Complete
J12658485,Complete
J12695148,Complete
J12791504,Incomplete
J12992942,Incomplete
J12681916,Complete
J12954083,Incomplete
J12947731,Complete
J12615984,Incomplete
J12881862,Incomplete
J12863241,Complete
J12971168,Complete
J12917466,Incomplete
J12798466,Complete
J12771579,Complete
J12999588,Complete
J12599602,Complete
J12695590,Incomplete
J12553129,Complete
J12552497,Incomplete
J12723129,Complete
J12689736,Complete
J12728723,Complete
J12963340,Complete
J12665801,Complete
J13004635,Complete
J12893458,Complete
J12965024,Complete
J12925738,Complete
J12721288,Incomplete
J12566660,Complete
J12552052,Complete
J12579173,Complete
J13025998,Incomplete
J12946437,Complete
J13011079,Complete
J12826915,Incomplete
J12877714,Incomplete
J12811419,Complete
J12561757,Incomplete
J12952426,Incomplete
J12631881,Insurance Claim
J12937054,Complete
J12665094,Complete
J12675661,Complete
J12976672,Complete
J12572483,Complete
J12786585,Incomplete
J12905748,Complete
J12644923,Complete
J12589591,Incomplete
J13012858,Complete
J12791431,Complete
J12554916,Complete
J12960399,Complete
J13033652,Incomplete
J12695472,Incomplete
J12640072,Complete
J12596256,Complete
J12667461,Complete
J12846334,Incomplete
J12764587,Incomplete
J12810438,Incomplete
J12832771,Complete
J12594034,Complete
J12785473,Incomplete
J12686682,Incomplete
J12768106,Complete
J12680801,Complete
J12640627,Complete
J12842642,Complete
J12617413,Incomplete
J12781362,Incomplete
J12550911,Insurance Claim
J12897342,Complete
J12690811,Complete
J12690096,Incomplete
J12617683,Incomplete
J12570879,Complete
J12611755,Complete
J12758662,Incomplete
J13018625,Complete
J12896110,Complete
J12924350,Complete
J13003845,Complete
J12752585,Complete
J12707183,Incomplete
J12895757,Incomplete
J12655076,Complete
J12830372,Complete
J12577605,Incomplete
J12892963,Complete
J12681440,Complete
J12582776,Incomplete
J12550588,Complete
J12784578,Incomplete
J12564447,Complete
J12654825,Incomplete
J12601679,Complete
J12567686,Complete
J12973628,Complete
J12700602,Complete
J12650378,Complete
J12719808,Complete
J12644705,Complete
J13028713,Complete
J12951069,Complete
J12549098,Incomplete
J12663608,Complete
J12552864,Complete
J12702608,Incomplete
J12666410,Complete
J12807273,Complete
J12760912,Complete
J12601899,Complete
J12556036,Complete
J12885439,Complete
J12796268,Incomplete
J12563300,Complete
J12967845,Incomplete
J12967781,Incomplete
J12553753,Complete
J12585912,Complete
J12682847,Complete
J13009902,Complete
J12707876,Complete
J13026970,Incomplete
J12862124,Incomplete
J12917855,Complete
J12642449,Incomplete
J13004177,Complete
J12730831,Incomplete
J12552501,Complete
J13016464,Transferred
J12895722,Incomplete
J12557172,Complete
J12554935,Complete
J13044104,Incomplete
J12889342,Incomplete
J12718513,Complete
J12963850,Complete
J12619475,Incomplete
J12660511,Complete
J12705906,Incomplete
J12826176,Complete
J13038173,Incomplete
J12740350,Complete
J12640800,Complete
J12931152,Complete
J12569224,Complete
J12605167,Complete
J13029216,Complete
J12586379,Complete
J12979067,Complete
J12559898,Complete
J12556477,Complete
J12828282,Incomplete
J12994339,Complete
J12931123,Complete
J12625129,Incomplete
J12783989,Complete
J12594754,Complete
J12592622,Incomplete
J12553963,Complete
J13006850,Complete
J12885031,Complete
J12951348,Complete
J12691696,Complete
J12602021,Complete
J12550493,Complete
J12693593,Complete
J12561591,Incomplete
J12555369,Incomplete
J12716135,Complete
J12686762,Incomplete
J12920631,Complete
J12593259,Incomplete
J12625529,Complete
J13000556,Complete
J12558094,Complete
J12948345,Complete
J12555927,Complete
J12872501,Complete
J12851490,Complete
J12564844,Complete
J12595940,Complete
J12587800,Incomplete
J12558859,Complete
J13012705,Complete
J12618374,Complete
J12900604,Complete
J12555743,Complete
J12733116,Complete
J12869532,Incomplete
J12551928,Incomplete
J12597978,Complete
J12865167,Complete
J12961406,Complete
J12550353,Complete
J12683869,Incomplete
J13005713,Complete
J12776299,Incomplete
J12766104,Incomplete
J12680030,Incomplete
J12932234,Complete
J12942056,Incomplete
J13040053,Complete
J12761129,Incomplete
J12765483,Incomplete
J12792916,Incomplete
J12854640,Complete
J13034834,Incomplete
J12889133,Incomplete
J12639437,Complete
J12691795,Complete
J12929966,Complete
J12729339,Complete
J13001367,Complete
J12904841,Complete
J12902528,Complete
J12958955,Incomplete
J12706483,Incomplete
J12920203,Complete
J12704285,Incomplete
J12763687,Complete
J12672998,Complete
J12969761,Complete
J13015070,Complete
J12969180,Complete
J12669307,Complete
J12557022,Complete
J12991087,Incomplete
J12753872,Complete
J12804114,Incomplete
J12925246,Complete
J12955495,Complete
J12909236,Incomplete
J13039452,Incomplete
J12722855,Complete
J12756083,Complete
J13008625,Incomplete
J12868551,Incomplete
J12768755,Complete
J12890907,Complete
J12996077,Complete
J12607438,Complete
J12772431,Complete
J12988281,Complete
J13001148,Complete
J12681349,Incomplete
J12872381,Complete
J12549855,Complete
J12822428,Complete
J12970896,Complete
J13031713,Complete
J12772396,Complete
J12965240,Incomplete
J12780804,Incomplete
J12735429,Incomplete
J12656397,Incomplete
J12934344,Complete
J12549832,Complete
